product_name,category_name,units_sold,revenue
Côte de Blaye,Beverages,623,141396.74
Thüringer Rostbratwurst,Meat/Poultry,746,80368.67
Raclette Courdavault,Dairy Products,1496,71155.70
Tarte au sucre,Confections,1083,47234.97
Camembert Pierrot,Dairy Products,1577,46825.48
Gnocchi di nonna Alice,Grains/Cereals,1263,42593.06
Manjimup Dried Apples,Produce,886,41819.65
Alice Mutton,Meat/Poultry,978,32698.38
Carnarvon Tigers,Seafood,539,29171.87
Rössle Sauerkraut,Produce,640,25696.64
Mozzarella di Giovanni,Dairy Products,806,24900.13
Ipoh Coffee,Beverages,580,23526.70
Sir Rodney's Marmalade,Confections,313,22563.36
Uncle Bob's Organic Dried Pears,Produce,763,22044.30
Wimmers gute Semmelknödel,Grains/Cereals,740,21957.97
